EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,Silicate,SILCAT_FLAG_W,Nitrate,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,Phosphate,PHSPHT_FLAG_W,CFC11,CFC11_FLAG_W,CFC12,CFC12_FLAG_W,DELC14,DELC14_FLAG_W,DELC13,DELC13_FLAG_W,tCO2,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TMP,SA,CT,pdens
31DSCG94_3,P18N,147,1,128,1032,3,19940414,659,0.665,-110.3367,3850,201.1,12.7831,34.8888,2,34.8872,2,69.1,2,66,2,21.78,2,25.43,2,0,2,1.87,2,-999,9,-999,9,-999,9,-999,9,2196.5,2,2300,2,-999,35.05580354,12.74730294,26.36057424
31DSCG94_3,P18N,147,1,127,1008,2,19940414,659,0.665,-110.3367,3850,251.5,12.5995,34.8811,2,34.8836,2,58.6,2,43.1,2,23.83,2,28.37,2,0,2,2.07,2,0.505,2,0.275,2,-999,9,-999,9,2215.1,2,2296,2,-999,35.04830946,12.55726188,26.3923042
31DSCG94_3,P18N,147,1,126,1007,2,19940414,659,0.665,-110.3367,3850,299.5,12.0324,34.8456,2,34.8435,2,26.7,2,17.7,2,27.93,2,32.01,2,0,2,2.33,2,-999,9,-999,9,-999,9,-999,9,2239.9,2,2294,2,25,35.01293404,11.98554695,26.47573932
31DSCG94_3,P18N,147,1,123,1220,2,19940414,659,0.665,-110.3367,3850,398.9,9.7637,34.7142,2,34.7135,2,24.6,2,24.2,6,35.27,2,36.67,2,0.01,2,2.53,2,0.097,2,0.053,2,-999,9,-999,9,2257.9,2,2296,2,-999,34.88181087,9.712787615,26.78170065
31DSCG94_3,P18N,147,1,122,1245,2,19940414,659,0.665,-110.3367,3850,499.5,8.1114,34.627,2,34.6266,2,29.6,2,33.3,2,43.9,2,39.71,2,0,2,2.73,2,-999,9,-999,9,-999,9,-999,9,2270,2,2301,2,25,34.79502328,8.056424548,26.97713167
31DSCG94_3,P18N,147,1,121,1206,2,19940414,659,0.665,-110.3367,3850,598,7.3224,34.5964,2,34.595,2,35.4,2,40.2,2,50.33,2,40.96,2,0,2,2.81,2,0.013,2,0.004,2,-999,9,-999,9,2275.8,2,2311,2,25,34.76503658,7.26100735,27.06944914
31DSCG94_3,P18N,147,1,120,1028,2,19940414,659,0.665,-110.3367,3850,698.7,6.2249,34.564,2,34.5633,2,41.1,2,49.1,2,62.53,2,42.27,2,0,2,2.89,2,-999,9,-999,9,-999,9,-999,9,2288.1,2,2334,2,25,34.73335796,6.159690646,27.19330984
31DSCG94_3,P18N,147,1,119,1248,2,19940414,659,0.665,-110.3367,3850,797,5.4225,34.5503,2,34.5506,2,61.6,2,68.3,2,71.35,2,40.99,2,0,2,2.82,2,0,2,-0.002,2,-999,9,-999,9,2288.5,2,2342,2,25,34.72047036,5.353152891,27.28336478
31DSCG94_3,P18N,147,1,118,1115,2,19940414,659,0.665,-110.3367,3850,898.4,4.9785,34.5491,2,34.5495,2,71,2,74.3,2,78.59,2,40.87,2,0,2,2.8,2,-999,9,-999,9,-999,9,-999,9,2294.6,2,2355,3,25,34.7201819,4.903084256,27.33578873
31DSCG94_3,P18N,147,1,117,1119,2,19940414,659,0.665,-110.3367,3850,1000.6,4.5608,34.5538,2,34.5542,2,76,2,79.5,2,86.48,2,40.84,2,0,2,2.8,2,0.001,2,0,2,-999,9,-999,9,2301.8,2,2351,6,25,34.72584497,4.479515386,27.38765479
