EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,FCO2,FCO2_FLAG_W,FCO2TMP,PH_SWS,PH_SWS_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,NEON,NEON_FLAG_W,NEONER,CCL4,CCL4_FLAG_W,POC,POC_FLAG_W,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,DON,DON_FLAG_W,CHLORA,CHLORA_FLAG_W,ARGON,ARGON_FLAG_W,TRITER,CDOM325,CDOM325_FLAG_W,CDOM340,CDOM340_FLAG_W,CDOM380,CDOM380_FLAG_W,CDOM412,CDOM412_FLAG_W,CDOM443,CDOM443_FLAG_W,CDOM490,CDOM490_FLAG_W,CDOM555,CDOM555_FLAG_W,CDOMSL,CDOMSL_FLAG_W,CDOMSN,CDOMSN_FLAG_W,THETA,D18O_NO3,D18O_NO3_FLAG_W,CDOM2C,CDOM2C_FLAG_W,CDOM3C,CDOM3C_FLAG_W,LAB_DEN,LAB_DEN_FLAG_W,DELSI30,DELSI30_FLAG_W,N2,N2_FLAG_W,D15N_NO3,D15N_NO3_FLAG_W,HELIER,DELHER
33RO20071215,       TEST,998,1,12,11012,3,20071217,358,24.4593,-112.9065,2871,900.9,4.8114,34.4928,2,34.4946,2,12.3,2,14.3,2,100.9,2,42.6,2,0,2,3.23,2,0.013,2,0.008,2,0.0319,2,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,1,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,4.7383,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
33RO20071215,       TEST,998,1,11,11010,3,20071217,358,24.4593,-112.9065,2871,1099.4,4.0508,34.5256,2,34.5267,2,21.6,2,-999,9,116.2,2,43.4,2,0,2,3.2,2,0.016,2,0.007,2,0.0826,2,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,1,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,3.9663,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
33RO20071215,       TEST,998,1,10,11011,3,20071217,358,24.4593,-112.9065,2871,1299.5,3.5614,34.5616,2,34.5634,2,30.9,2,-999,9,127,2,43.2,2,0,2,3.17,2,0.014,2,0.006,2,0.0487,2,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,1,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,3.4644,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
33RO20071215,       TEST,998,1,17,11017,2,20071217,358,24.4593,-112.9065,2871,1595.8,2.9366,34.5953,2,34.5977,2,49.6,2,-999,9,140.6,2,42.3,2,0,2,3.02,2,0.008,2,0.005,2,0.0522,2,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,1,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,2.8214,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
33RO20071215,       TEST,998,1,9,11009,3,20071217,358,24.4593,-112.9065,2871,1601.3,2.9471,34.5948,2,34.5963,2,49.2,2,-999,9,140.1,2,42.1,2,0,2,3.05,2,0.01,2,0.006,2,0.0608,2,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,1,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,2.8313,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
33RO20071215,       TEST,998,1,8,11008,3,20071217,358,24.4593,-112.9065,2871,1899.1,2.3999,34.6242,2,34.6272,2,72.3,2,74.1,2,151,2,41,2,0,2,2.89,2,0.023,2,0.014,2,0.0462,2,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,1,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,2.2661,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
33RO20071215,       TEST,998,1,7,11007,3,20071217,358,24.4593,-112.9065,2871,2199,2.0608,34.6465,2,34.6488,2,90.5,2,-999,9,156.8,2,39.7,2,0,2,2.76,2,0.006,2,0.005,2,0.0345,2,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,1,-999,9,-999,0.008,3,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,1.9063,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
33RO20071215,       TEST,998,1,6,11006,3,20071217,358,24.4593,-112.9065,2871,2499.3,1.8478,34.6598,2,34.6655,4,102.6,2,-999,9,161.2,2,39.2,2,0,2,2.68,2,0.006,2,0.007,2,0,2,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,1,-999,9,-999,0.008,3,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,1.6703,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
33RO20071215,       TEST,998,1,5,11005,3,20071217,358,24.4593,-112.9065,2871,2499.5,1.8475,34.6598,2,34.6597,2,102.6,2,-999,9,160.2,2,39,2,0,2,2.67,2,0.009,2,0.01,2,0.0329,2,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,1,-999,9,-999,0.008,3,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,1.67,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
33RO20071215,       TEST,998,1,3,11003,3,20071217,358,24.4593,-112.9065,2871,2699.6,1.7334,34.6664,2,34.6677,2,111.3,2,-999,9,163.3,6,39,6,0,6,2.63,2,0.009,2,0.011,2,0.0306,2,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,1,-999,9,-999,0.008,3,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,-999,5,1.5398,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
