EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,FCO2,FCO2_FLAG_W,FCO2TMP,PH_TOT,PH_TOT_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,TRITER,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,NEON,NEON_FLAG_W,NEONER,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,CTDRAW,CDOM325,CDOM325_FLAG_W,CDOM340,CDOM340_FLAG_W,CDOM380,CDOM380_FLAG_W,CDOM412,CDOM412_FLAG_W,CDOMSL,CDOMSL_FLAG_W,CDOMSN,CDOMSN_FLAG_W,DCNS,ARABI,ARABI_FLAG_W,FUCO,FUCO_FLAG_W,GALA,GALA_FLAG_W,GLUC,GLUC_FLAG_W,MAN,MAN_FLAG_W,RHAM,RHAM_FLAG_W,BRDU,BRDU_FLAG_W,THETA,HELIER,DELHER
3.2502E+11,       P16N,1,2,25,25,9,20060214,1218,-17.0002,-149.9995,1935,261.8,19.33,35.6303,2,-999,9,174.8,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-9,-999,9,-999,-999,9,-999,9,261.8,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,19.2825,-999,-999
3.2502E+11,       P16N,1,2,24,24,2,20060214,1218,-17.0002,-149.9995,1935,301.2,16.9243,35.3187,2,35.307,4,173.7,2,171,2,2.3,2,7.9,6,0,6,0.71,6,2.265,2,1.243,2,-999,5,2101.5,2,2323.5,2,-999,9,-999,-999,9,-999,0.388,3,0.003,1.7676,2,-0.37,2,-999,5,93,2,3.3,7.212,2,0.022,45.85,2,12.03,2,301.2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,16.8744,0.0053,0.14
3.2502E+11,       P16N,1,2,23,23,2,20060214,1218,-17.0002,-149.9995,1935,356.4,14.6544,35.0536,2,35.0208,4,173.1,2,167.3,2,4.1,2,11.7,6,0,6,0.96,6,2.127,2,1.157,2,-999,5,2115.9,2,2308.2,6,-999,9,-999,7.8249,2,25,0.313,2,0.003,-999,9,-999,9,-999,5,67.7,2,2.8,-999,9,-999,44.08,2,15.67,2,356.4,0.072,2,0.045,2,0.015,2,0.01,2,0.0301,2,0.0306,2,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,14.601,-999,-999
3.2502E+11,       P16N,1,2,22,22,2,20060214,1218,-17.0002,-149.9995,1935,449.7,9.3448,34.5663,2,34.542,4,141.7,2,138.8,2,14.6,2,25.3,6,0,6,1.8,6,-999,9,-999,9,-999,9,2177.1,2,2293.3,2,-999,9,-999,7.6438,2,25,0.106,2,0.005,1.7949,2,2.46,2,-999,5,-8.1,2,2.3,7.553,2,0.023,42.07,2,29.49,2,449.7,0.094,2,0.062,2,0.028,2,0.02,2,0.0231,2,0.0248,2,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,9.2944,0.0054,0.14
3.2502E+11,       P16N,1,2,21,21,2,20060214,1218,-17.0002,-149.9995,1935,501.3,8.1024,34.4993,2,34.4946,4,143.9,2,141.5,2,18.9,2,28,6,0,6,1.95,6,-0.003,4,-0.008,4,-999,5,2188.2,6,2291.3,2,-999,9,-999,7.6193,2,25,0.087,2,0.004,1.8144,2,3.61,2,-999,5,-33.9,2,3.3,7.694,2,0.023,40.61,2,32.18,2,501.3,0.094,2,0.06,2,0.028,2,0.019,2,0.0232,2,0.0253,2,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,8.0506,0.0054,0.14
3.2502E+11,       P16N,1,2,20,20,2,20060214,1218,-17.0002,-149.9995,1935,600.5,6.5616,34.452,2,34.4428,4,150.4,2,148,2,28.4,2,31.2,6,0,6,2.12,6,0.38,2,0.21,2,-999,5,2201.4,2,2297.7,2,-999,9,-999,7.5959,2,25,0.042,2,0.004,1.8311,2,6.45,2,-999,5,-76.6,2,2.6,7.79,2,0.023,39.86,2,35.23,2,600.5,0.093,2,0.059,2,0.026,2,0.018,2,0.0242,2,0.0262,2,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,6.5062,0.0055,0.14
3.2502E+11,       P16N,1,2,19,19,2,20060214,1218,-17.0002,-149.9995,1935,699.8,5.4223,34.4332,2,34.4161,4,154.8,2,152.4,2,39.1,2,33.3,6,0,6,2.24,6,0.181,2,0.098,2,-999,5,2214.1,2,2312.2,2,-999,9,-999,7.5861,2,25,-999,9,-999,1.8067,2,8.9,2,-999,5,-105.7,2,2.5,7.75,2,0.023,38.68,2,37.02,2,699.8,0.092,2,0.058,2,0.023,2,0.014,2,0.0263,2,0.0281,2,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,5.3633,0.0054,0.14
3.2502E+11,       P16N,1,2,18,18,2,20060214,1218,-17.0002,-149.9995,1935,800.3,4.9076,34.4673,2,34.4562,4,149,2,145.9,2,51,2,34.5,6,0,6,2.33,6,0.072,2,0.041,6,-999,5,2231.6,2,2322.4,2,-999,9,-999,7.5723,2,25,0.015,2,0.003,-999,9,-999,9,-999,5,-133.2,2,3,-999,9,-999,37.88,2,38.47,2,800.3,0.097,2,0.063,2,0.029,2,0.019,2,0.0223,2,0.0243,2,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,4.8427,-999,-999
3.2502E+11,       P16N,1,2,17,17,2,20060214,1218,-17.0002,-149.9995,1935,900.1,4.5158,34.4858,2,34.4779,4,145.1,2,142.8,2,59.4,2,35.2,6,0,6,2.38,6,0.052,2,0.023,2,-999,5,2241.9,2,2329.6,2,-999,9,-999,-999,9,-999,0.011,3,0.004,1.8606,2,14.65,2,-999,5,-146.6,2,2.6,7.967,2,0.024,37.44,2,39.45,2,900.1,0.092,2,0.058,2,0.023,2,0.013,2,0.0263,2,0.028,2,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,4.4448,0.0056,0.14
3.2502E+11,       P16N,1,2,16,16,4,20060214,1218,-17.0002,-149.9995,1935,1001.2,3.968,34.502,2,-999,9,145.4,2,-999,9,-999,1,-999,1,-999,1,-999,1,-999,9,-999,9,-999,9,-999,9,-999,5,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-9,-999,9,-999,37.52,2,36.45,2,1001.2,0.102,2,0.065,2,0.03,2,0.02,2,0.0223,2,0.0245,2,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,3.8925,-999,-999
